# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60393.300000,764536320.011535,-398547.870071,42249.610756,28756.632051,-0.435123,-0.540334,0.230336
60393.320000,764538047.962831,-399429.154908,41220.872256,29262.216998,-0.592991,-0.662843,0.356008
60393.340000,764539776.004402,-400633.045625,39894.332948,29984.746207,-0.813278,-0.900364,0.475707
60393.360000,764541504.026390,-402288.024713,37953.504348,30848.048908,-1.111449,-1.415453,0.480584
60393.380000,764543231.965744,-404358.096667,34714.847199,31254.931582,-1.150721,-2.356825,-0.213374
60393.400000,764544960.041633,-405632.453924,30496.411852,29788.574770,-0.286785,-2.256830,-1.320241
60393.420000,764546687.979718,-405650.361431,27171.966691,27313.470895,0.178185,-1.628332,-1.453121
60393.440000,764548415.974846,-405195.482899,24720.058262,24894.271619,0.320783,-1.243654,-1.336227
60393.460000,764550144.004997,-404597.840211,22788.928514,22704.895010,0.361498,-1.008764,-1.198615
60393.480000,764551872.018432,-403967.179824,21189.386041,20745.374849,0.364501,-0.852049,-1.071519
60393.500000,764553600.021798,-403347.602563,19818.767758,18994.424974,0.350671,-0.740054,-0.956970
60393.520000,764555328.001298,-402760.280244,18615.737613,17432.196854,0.328001,-0.656128,-0.852672
60393.540000,764557056.002739,-402217.144809,17540.306761,16043.184378,0.299877,-0.591237,-0.756067
60393.560000,764558783.958456,-401726.201266,16564.530516,14816.084823,0.267755,-0.540153,-0.664982
60393.580000,764560511.961415,-401293.790866,15667.442746,13742.901088,0.232150,-0.499730,-0.577612
60393.600000,764562240.014235,-400925.888536,14832.401095,12818.572895,0.193044,-0.468078,-0.492427
60393.620000,764563968.020510,-400628.854468,14045.289737,12040.569379,0.150044,-0.444168,-0.408064
60393.640000,764565695.999539,-400410.002681,13293.126268,11408.587646,0.102405,-0.427635,-0.323215
60393.660000,764567423.974828,-400278.265419,12562.997522,10924.599168,0.048986,-0.418772,-0.236545
60393.680000,764569152.000489,-400244.994779,11840.834467,10592.974836,-0.011901,-0.418650,-0.146597
60393.700000,764570880.004473,-400325.111214,11109.855025,10420.787849,-0.082755,-0.429484,-0.051719
60393.720000,764572607.968549,-400538.893180,10347.914302,10418.177057,-0.167402,-0.455431,0.050012
60393.740000,764574336.021981,-400915.056100,9522.761891,10598.791269,-0.271969,-0.504392,0.160675
60393.760000,764576064.027562,-401496.092411,8582.560493,10979.435675,-0.406755,-0.592396,0.281548
60393.780000,764577791.977575,-402348.284523,7433.054556,11575.553466,-0.589698,-0.755693,0.408150
60393.800000,764579520.033951,-403577.648123,5876.337129,12373.870764,-0.847639,-1.088066,0.501902
60393.820000,764581248.023268,-405304.745750,3442.749062,13162.015072,-1.131170,-1.819086,0.309535
60393.840000,764582976.035356,-407072.286694,-472.757372,12821.102999,-0.703358,-2.518619,-0.839111
60393.860000,764584704.027067,-407528.136164,-4402.756197,10668.173469,0.078411,-1.949406,-1.453414
60393.880000,764586431.978200,-407107.799557,-7286.998512,8158.886559,0.354785,-1.433903,-1.413612
60393.900000,764588160.022036,-406407.235085,-9479.563871,5830.221429,0.439349,-1.128788,-1.278714
60393.920000,764589887.982349,-405624.947493,-11250.803351,3738.149224,0.459812,-0.934369,-1.144576
60393.940000,764591615.961967,-404832.738088,-12742.814784,1867.264178,0.454270,-0.800014,-1.022950
60393.960000,764593344.017257,-404062.064452,-14036.157751,196.089496,0.436186,-0.701578,-0.912947
60393.980000,764595071.993342,-403329.290897,-15180.875803,-1293.134781,0.411018,-0.626544,-0.812014
60394.000000,764596799.990914,-402644.292915,-16210.857687,-2614.039027,0.381128,-0.567885,-0.717747
60394.020000,764598527.977612,-402014.258625,-17150.488387,-3776.339752,0.347498,-0.521447,-0.628151
60394.040000,764600255.957532,-401445.350088,-18018.535780,-4786.638081,0.310385,-0.484718,-0.541565
60394.060000,764601983.991444,-400943.679388,-18830.411170,-5648.889842,0.269594,-0.456227,-0.456540
60394.080000,764603712.008011,-400516.043226,-19599.598387,-6364.598621,0.224582,-0.435255,-0.371749
