# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60393.120000,764520837.182599,-400844.541299,52595.904497,39636.252609,-0.152097,-0.844998,-0.455135
60393.140000,764522565.182598,-401103.809188,51135.271773,38849.422135,-0.147980,-0.845546,-0.455548
60393.160000,764524293.182598,-401355.961276,49673.705685,38061.885234,-0.143861,-0.846079,-0.455952
60393.180000,764526021.182598,-401600.992607,48211.232561,37273.656084,-0.139738,-0.846596,-0.456349
60393.200000,764527749.182598,-401838.898223,46747.878729,36484.748863,-0.135613,-0.847098,-0.456737
60393.220000,764529477.182597,-402069.673168,45283.670518,35695.177749,-0.131485,-0.847585,-0.457117
60393.240000,764531205.182597,-402293.312484,43818.634256,34904.956920,-0.127355,-0.848057,-0.457489
60393.260000,764532933.182597,-402509.811244,42352.796277,34114.100556,-0.123222,-0.848513,-0.457853
60393.280000,764534661.182596,-402719.165193,40886.183010,33322.622909,-0.119087,-0.848954,-0.458208
60393.300000,764536389.182596,-402921.370749,39418.820977,32530.538303,-0.114949,-0.849379,-0.458555
60393.320000,764538117.182596,-403116.424360,37950.736709,31737.861064,-0.110809,-0.849790,-0.458894
60393.340000,764539845.182596,-403304.322472,36481.956733,30944.605518,-0.106667,-0.850184,-0.459224
60393.360000,764541573.182595,-403485.061532,35012.507577,30150.785993,-0.102523,-0.850564,-0.459547
60393.380000,764543301.182595,-403658.637989,33542.415771,29356.416813,-0.098376,-0.850928,-0.459861
60393.400000,764545029.182595,-403825.048289,32071.707842,28561.512307,-0.094228,-0.851277,-0.460166
60393.420000,764546757.182595,-403984.288880,30600.410319,27766.086799,-0.090077,-0.851611,-0.460464
60393.440000,764548485.182594,-404136.356208,29128.549730,26970.154617,-0.085925,-0.851929,-0.460753
60393.460000,764550213.182594,-404281.246722,27656.152604,26173.730086,-0.081770,-0.852232,-0.461034
60393.480000,764551941.182594,-404418.956868,26183.245470,25376.827534,-0.077614,-0.852519,-0.461306
60393.500000,764553669.182593,-404549.483094,24709.854856,24579.461287,-0.073457,-0.852791,-0.461570
60393.520000,764555397.182593,-404672.822083,23236.007314,23781.645691,-0.069297,-0.853048,-0.461826
60393.540000,764557125.182593,-404788.971466,21761.729499,22983.395174,-0.065136,-0.853289,-0.462074
60393.560000,764558853.182593,-404897.929109,20287.048090,22184.724184,-0.060974,-0.853515,-0.462313
60393.580000,764560581.182592,-404999.692880,18811.989764,21385.647171,-0.056810,-0.853726,-0.462543
60393.600000,764562309.182592,-405094.260644,17336.581200,20586.178582,-0.052645,-0.853921,-0.462766
60393.620000,764564037.182592,-405181.630269,15860.849076,19786.332866,-0.048478,-0.854100,-0.462980
60393.640000,764565765.182592,-405261.799621,14384.820072,18986.124471,-0.044310,-0.854264,-0.463186
60393.660000,764567493.182591,-405334.766568,12908.520865,18185.567845,-0.040141,-0.854413,-0.463383
60393.680000,764569221.182591,-405400.528976,11431.978133,17384.677437,-0.035971,-0.854546,-0.463572
60393.700000,764570949.182591,-405459.084711,9955.218556,16583.467695,-0.031800,-0.854664,-0.463753
60393.720000,764572677.182590,-405510.431641,8478.268812,15781.953067,-0.027628,-0.854766,-0.463925
60393.740000,764574405.182590,-405554.567633,7001.155580,14980.148002,-0.023454,-0.854853,-0.464089
60393.760000,764576133.182590,-405591.490582,5523.905539,14178.066950,-0.019280,-0.854925,-0.464244
60393.780000,764577861.182590,-405621.199072,4046.545417,13375.724406,-0.015106,-0.854980,-0.464391
60393.800000,764579589.182589,-405643.692374,2569.101991,12573.134912,-0.010930,-0.855021,-0.464530
60393.820000,764581317.182589,-405658.969787,1091.602038,11770.313010,-0.006754,-0.855046,-0.464660
60393.840000,764583045.182589,-405667.030612,-385.927665,10967.273244,-0.002577,-0.855055,-0.464782
60393.860000,764584773.182588,-405667.874148,-1863.460341,10164.030155,0.001600,-0.855049,-0.464896
60393.880000,764586501.182588,-405661.499695,-3340.969212,9360.598288,0.005778,-0.855028,-0.465001
60393.900000,764588229.182588,-405647.906553,-4818.427500,8556.992185,0.009956,-0.854991,-0.465097
60393.920000,764589957.182588,-405627.094023,-6295.808428,7753.226388,0.014134,-0.854938,-0.465186
60393.940000,764591685.182587,-405599.061404,-7773.085219,6949.315442,0.018313,-0.854870,-0.465265
60393.960000,764593413.182587,-405563.807996,-9250.231094,6145.273887,0.022492,-0.854787,-0.465337
60393.980000,764595141.182587,-405521.333099,-10727.219277,5341.116269,0.026671,-0.854688,-0.465400
60394.000000,764596869.182587,-405471.636014,-12204.022991,4536.857128,0.030850,-0.854573,-0.465454
60394.020000,764598597.182586,-405414.716280,-13680.615449,3732.511020,0.035029,-0.854443,-0.465500
60394.040000,764600325.182586,-405350.574403,-15156.969835,2928.092542,0.039208,-0.854298,-0.465538
60394.060000,764602053.182585,-405279.211128,-16633.059326,2123.616305,0.043387,-0.854137,-0.465567
60394.080000,764603781.182585,-405200.627199,-18108.857096,1319.096917,0.047565,-0.853960,-0.465588
60394.100000,764605509.182585,-405114.823362,-19584.336322,514.548987,0.051743,-0.853768,-0.465600
60394.120000,764607237.182585,-405021.800362,-21059.470178,-290.012875,0.055921,-0.853560,-0.465604
60394.140000,764608965.182585,-404921.558944,-22534.231842,-1094.574059,0.060099,-0.853337,-0.465600
60394.160000,764610693.182584,-404814.099853,-24008.594489,-1899.119957,0.064276,-0.853098,-0.465586
60394.180000,764612421.182584,-404699.423835,-25482.531293,-2703.635959,0.068452,-0.852844,-0.465565
60394.200000,764614149.182584,-404577.531635,-26956.015432,-3508.107455,0.072628,-0.852575,-0.465535
60394.220000,764615877.182583,-404448.423998,-28429.020080,-4312.519837,0.076804,-0.852289,-0.465497
60394.240000,764617605.182583,-404312.101669,-29901.518414,-5116.858495,0.080978,-0.851989,-0.465450
60394.260000,764619333.182583,-404168.565423,-31373.483609,-5921.108818,0.085152,-0.851672,-0.465394
60394.280000,764621061.182582,-404017.816734,-32844.888845,-6725.256179,0.089324,-0.851340,-0.465330
60394.300000,764622789.182582,-403859.857772,-34315.707302,-7529.285932,0.093496,-0.850993,-0.465258
60394.320000,764624517.182582,-403694.690736,-35785.912165,-8333.183429,0.097667,-0.850630,-0.465177
60394.340000,764626245.182582,-403522.317828,-37255.476614,-9136.934023,0.101837,-0.850252,-0.465088
60394.360000,764627973.182582,-403342.741247,-38724.373832,-9940.523067,0.106005,-0.849858,-0.464990
60394.380000,764629701.182581,-403155.963195,-40192.577001,-10743.935915,0.110173,-0.849449,-0.464884
60394.400000,764631429.182581,-402961.985872,-41660.059303,-11547.157918,0.114339,-0.849024,-0.464769
60394.420000,764633157.182581,-402760.811478,-43126.793921,-12350.174431,0.118503,-0.848583,-0.464646
60394.440000,764634885.182580,-402552.442214,-44592.754037,-13152.970806,0.122667,-0.848127,-0.464515
60394.460000,764636613.182580,-402336.880280,-46057.912833,-13955.532395,0.126828,-0.847656,-0.464375
60394.480000,764638341.182580,-402114.127876,-47522.243491,-14757.844552,0.130988,-0.847169,-0.464226
60394.500000,764640069.182579,-401884.187203,-48985.719193,-15559.892631,0.135147,-0.846666,-0.464069
60394.520000,764641797.182579,-401647.060706,-50448.313132,-16361.661981,0.139304,-0.846148,-0.463903
60394.540000,764643525.182579,-401402.751805,-51909.998541,-17163.137950,0.143459,-0.845615,-0.463729
60394.560000,764645253.182579,-401151.264162,-53370.748662,-17964.305882,0.147612,-0.845066,-0.463547
