# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60398.460000,764982213.182525,82275.554786,-0.000278,0.000585
60398.480000,764983941.182524,82190.573016,-0.000273,0.000586
60398.500000,764985669.182524,82104.732562,-0.000269,0.000588
60398.520000,764987397.182524,82018.032840,-0.000264,0.000589
60398.540000,764989125.182524,81930.473152,-0.000259,0.000591
60398.560000,764990853.182523,81842.052771,-0.000254,0.000592
60398.580000,764992581.182523,81752.770969,-0.000250,0.000593
60398.600000,764994309.182523,81662.627020,-0.000245,0.000594
60398.620000,764996037.182523,81571.620198,-0.000240,0.000596
60398.640000,764997765.182522,81479.749774,-0.000235,0.000597
60398.660000,764999493.182522,81387.015023,-0.000230,0.000598
60398.680000,765001221.182522,81293.415217,-0.000225,0.000599
60398.700000,765002949.182521,81198.949629,-0.000220,0.000600
60398.720000,765004677.182521,81103.617533,-0.000214,0.000601
60398.740000,765006405.182521,81007.418202,-0.000209,0.000602
60398.760000,765008133.182521,80910.350906,-0.000204,0.000602
60398.780000,765009861.182520,80812.414864,-0.000199,0.000603
60398.800000,765011589.182520,80713.609245,-0.000193,0.000604
60398.820000,765013317.182520,80613.933213,-0.000188,0.000604
60398.840000,765015045.182520,80513.385933,-0.000182,0.000605
60398.860000,765016773.182519,80411.966571,-0.000177,0.000605
60398.880000,765018501.182519,80309.674293,-0.000171,0.000606
60398.900000,765020229.182519,80206.508262,-0.000166,0.000606
60398.920000,765021957.182518,80102.467645,-0.000160,0.000606
60398.940000,765023685.182518,79997.551606,-0.000155,0.000606
60398.960000,765025413.182518,79891.759312,-0.000149,0.000606
60398.980000,765027141.182518,79785.089926,-0.000143,0.000606
60399.000000,765028869.182517,79677.542615,-0.000138,0.000606
60399.020000,765030597.182517,79569.116539,-0.000132,0.000606
60399.040000,765032325.182517,79459.810847,-0.000126,0.000606
60399.060000,765034053.182516,79349.624681,-0.000120,0.000605
60399.080000,765035781.182516,79238.557184,-0.000114,0.000605
60399.100000,765037509.182516,79126.607501,-0.000108,0.000604
60399.120000,765039237.182516,79013.774775,-0.000102,0.000603
60399.140000,765040965.182515,78900.058148,-0.000096,0.000603
60399.160000,765042693.182515,78785.456765,-0.000090,0.000602
60399.180000,765044421.182515,78669.969768,-0.000084,0.000601
60399.200000,765046149.182515,78553.596302,-0.000078,0.000599
60399.220000,765047877.182514,78436.335509,-0.000072,0.000598
