# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60395.140000,764695365.182571,149683787.900811,50.090299,-0.004986
60395.160000,764697093.182570,149684351.803299,50.135187,-0.004991
60395.180000,764698821.182570,149684910.300730,50.178933,-0.004997
60395.200000,764700549.182570,149685463.400366,50.221540,-0.005003
60395.220000,764702277.182570,149686011.109472,50.263010,-0.005008
60395.240000,764704005.182569,149686553.435309,50.303348,-0.005014
60395.260000,764705733.182569,149687090.385128,50.342555,-0.005019
60395.280000,764707461.182569,149687621.965853,50.380636,-0.005024
60395.300000,764709189.182568,149688148.184082,50.417591,-0.005030
60395.320000,764710917.182568,149688669.046400,50.453425,-0.005035
60395.340000,764712645.182568,149689184.559391,50.488140,-0.005040
60395.360000,764714373.182568,149689694.729640,50.521738,-0.005045
60395.380000,764716101.182567,149690199.563731,50.554222,-0.005050
60395.400000,764717829.182567,149690699.068250,50.585596,-0.005055
60395.420000,764719557.182567,149691193.249780,50.615860,-0.005060
60395.440000,764721285.182567,149691682.114906,50.645020,-0.005065
60395.460000,764723013.182566,149692165.670213,50.673076,-0.005070
60395.480000,764724741.182566,149692643.922285,50.700032,-0.005075
60395.500000,764726469.182566,149693116.877708,50.725890,-0.005080
60395.520000,764728197.182565,149693584.542958,50.750654,-0.005084
60395.540000,764729925.182565,149694046.924091,50.774325,-0.005089
60395.560000,764731653.182565,149694504.027055,50.796906,-0.005094
60395.580000,764733381.182565,149694955.857797,50.818399,-0.005098
60395.600000,764735109.182564,149695402.422266,50.838808,-0.005103
60395.620000,764736837.182564,149695843.726410,50.858134,-0.005107
60395.640000,764738565.182564,149696279.776177,50.876379,-0.005111
60395.660000,764740293.182563,149696710.577514,50.893547,-0.005116
60395.680000,764742021.182563,149697136.136371,50.909640,-0.005120
60395.700000,764743749.182563,149697556.458694,50.924659,-0.005124
60395.720000,764745477.182563,149697971.550433,50.938609,-0.005129
60395.740000,764747205.182562,149698381.417534,50.951490,-0.005133
60395.760000,764748933.182562,149698786.065935,50.963306,-0.005137
60395.780000,764750661.182562,149699185.501281,50.974058,-0.005141
60395.800000,764752389.182562,149699579.728934,50.983750,-0.005145
60395.820000,764754117.182561,149699968.754238,50.992383,-0.005149
60395.840000,764755845.182561,149700352.582543,50.999960,-0.005153
60395.860000,764757573.182561,149700731.219193,51.006483,-0.005157
60395.880000,764759301.182560,149701104.669537,51.011954,-0.005161
60395.900000,764761029.182560,149701472.938921,51.016376,-0.005164
60395.920000,764762757.182560,149701836.032691,51.019750,-0.005168
60395.940000,764764485.182560,149702193.956196,51.022079,-0.005172
60395.960000,764766213.182559,149702546.714781,51.023366,-0.005176
60395.980000,764767941.182559,149702894.313795,51.023612,-0.005179
60396.000000,764769669.182559,149703236.758582,51.022819,-0.005183
60396.020000,764771397.182559,149703574.054396,51.020991,-0.005187
60396.040000,764773125.182558,149703906.206108,51.018129,-0.005190
60396.060000,764774853.182558,149704233.218492,51.014236,-0.005194
60396.080000,764776581.182558,149704555.096325,51.009313,-0.005197
60396.100000,764778309.182557,149704871.844383,51.003362,-0.005200
60396.120000,764780037.182557,149705183.467442,50.996387,-0.005204
60396.140000,764781765.182557,149705489.970277,50.988388,-0.005207
60396.160000,764783493.182557,149705791.357664,50.979369,-0.005211
60396.180000,764785221.182556,149706087.634379,50.969331,-0.005214
60396.200000,764786949.182556,149706378.805198,50.958276,-0.005217
60396.220000,764788677.182556,149706664.874897,50.946207,-0.005220
60396.240000,764790405.182555,149706945.848251,50.933125,-0.005223
60396.260000,764792133.182555,149707221.730024,50.919034,-0.005227
60396.280000,764793861.182555,149707492.524722,50.903934,-0.005230
60396.300000,764795589.182555,149707758.236584,50.887829,-0.005233
60396.320000,764797317.182554,149708018.869843,50.870719,-0.005236
60396.340000,764799045.182554,149708274.428730,50.852608,-0.005239
60396.360000,764800773.182554,149708524.917475,50.833498,-0.005242
60396.380000,764802501.182553,149708770.340309,50.813390,-0.005245
60396.400000,764804229.182553,149709010.701463,50.792286,-0.005248
60396.420000,764805957.182553,149709246.005168,50.770189,-0.005251
60396.440000,764807685.182553,149709476.255655,50.747101,-0.005254
60396.460000,764809413.182552,149709701.457155,50.723024,-0.005256
60396.480000,764811141.182552,149709921.613899,50.697960,-0.005259
60396.500000,764812869.182552,149710136.730118,50.671910,-0.005262
60396.520000,764814597.182552,149710346.809955,50.644878,-0.005265
60396.540000,764816325.182551,149710551.857207,50.616865,-0.005267
60396.560000,764818053.182551,149710751.875584,50.587874,-0.005270
60396.580000,764819781.182551,149710946.868795,50.557906,-0.005273
60396.600000,764821509.182550,149711136.840549,50.526963,-0.005275
60396.620000,764823237.182550,149711321.794555,50.495049,-0.005278
60396.640000,764824965.182550,149711501.734523,50.462164,-0.005281
60396.660000,764826693.182550,149711676.664163,50.428311,-0.005283
60396.680000,764828421.182549,149711846.587183,50.393491,-0.005286
60396.700000,764830149.182549,149712011.507293,50.357708,-0.005288
60396.720000,764831877.182549,149712171.428203,50.320964,-0.005291
60396.740000,764833605.182549,149712326.353621,50.283259,-0.005293
60396.760000,764835333.182548,149712476.287247,50.244597,-0.005296
60396.780000,764837061.182548,149712621.232541,50.204979,-0.005298
60396.800000,764838789.182548,149712761.192720,50.164409,-0.005300
60396.820000,764840517.182547,149712896.170996,50.122887,-0.005303
60396.840000,764842245.182547,149713026.170576,50.080416,-0.005305
60396.860000,764843973.182547,149713151.194670,50.036998,-0.005307
60396.880000,764845701.182547,149713271.246488,49.992636,-0.005310
60396.900000,764847429.182546,149713386.329237,49.947332,-0.005312
60396.920000,764849157.182546,149713496.446128,49.901087,-0.005314
60396.940000,764850885.182546,149713601.600369,49.853904,-0.005316
60396.960000,764852613.182546,149713701.795170,49.805786,-0.005319
60396.980000,764854341.182545,149713797.033740,49.756734,-0.005321
60397.000000,764856069.182545,149713887.319287,49.706750,-0.005323
60397.020000,764857797.182545,149713972.654942,49.655837,-0.005325
60397.040000,764859525.182544,149714053.043512,49.603998,-0.005327
60397.060000,764861253.182544,149714128.487727,49.551233,-0.005329
60397.080000,764862981.182544,149714198.990315,49.497547,-0.005331
60397.100000,764864709.182544,149714264.554004,49.442940,-0.005333
60397.120000,764866437.182543,149714325.181525,49.387416,-0.005335
60397.140000,764868165.182543,149714380.875605,49.330976,-0.005337
60397.160000,764869893.182543,149714431.638973,49.273624,-0.005339
60397.180000,764871621.182543,149714477.474358,49.215361,-0.005341
60397.200000,764873349.182542,149714518.384488,49.156190,-0.005343
60397.220000,764875077.182542,149714554.372093,49.096112,-0.005345
60397.240000,764876805.182542,149714585.439901,49.035132,-0.005347
60397.260000,764878533.182541,149714611.590631,48.973249,-0.005349
60397.280000,764880261.182541,149714632.826782,48.910469,-0.005351
60397.300000,764881989.182541,149714649.150629,48.846792,-0.005352
60397.320000,764883717.182541,149714660.564440,48.782221,-0.005354
60397.340000,764885445.182540,149714667.070482,48.716759,-0.005356
60397.360000,764887173.182540,149714668.671023,48.650409,-0.005358
60397.380000,764888901.182540,149714665.368329,48.583173,-0.005360
60397.400000,764890629.182539,149714657.164668,48.515053,-0.005361
60397.420000,764892357.182539,149714644.062306,48.446053,-0.005363
60397.440000,764894085.182539,149714626.063512,48.376175,-0.005365
60397.460000,764895813.182539,149714603.170551,48.305421,-0.005366
60397.480000,764897541.182538,149714575.385691,48.233795,-0.005368
60397.500000,764899269.182538,149714542.711200,48.161298,-0.005369
60397.520000,764900997.182538,149714505.149270,48.087933,-0.005371
60397.540000,764902725.182537,149714462.701799,48.013703,-0.005373
60397.560000,764904453.182537,149714415.370610,47.938612,-0.005374
60397.580000,764906181.182537,149714363.157528,47.862662,-0.005376
60397.600000,764907909.182537,149714306.064375,47.785855,-0.005377
60397.620000,764909637.182536,149714244.092975,47.708196,-0.005379
60397.640000,764911365.182536,149714177.245152,47.629687,-0.005380
60397.660000,764913093.182536,149714105.522729,47.550330,-0.005381
60397.680000,764914821.182536,149714028.927529,47.470130,-0.005383
60397.700000,764916549.182535,149713947.461377,47.389089,-0.005384
60397.720000,764918277.182535,149713861.126096,47.307209,-0.005385
60397.740000,764920005.182535,149713769.923509,47.224494,-0.005387
60397.760000,764921733.182534,149713673.855431,47.140947,-0.005388
60397.780000,764923461.182534,149713572.923472,47.056571,-0.005389
60397.800000,764925189.182534,149713467.129039,46.971369,-0.005390
60397.820000,764926917.182534,149713356.473529,46.885346,-0.005392
60397.840000,764928645.182533,149713240.958339,46.798503,-0.005393
60397.860000,764930373.182533,149713120.584866,46.710846,-0.005394
60397.880000,764932101.182533,149712995.354507,46.622378,-0.005395
60397.900000,764933829.182533,149712865.268660,46.533101,-0.005396
60397.920000,764935557.182532,149712730.328723,46.443021,-0.005397
60397.940000,764937285.182532,149712590.536091,46.352139,-0.005398
60397.960000,764939013.182532,149712445.892163,46.260460,-0.005399
60397.980000,764940741.182531,149712296.398336,46.167986,-0.005400
60398.000000,764942469.182531,149712142.056007,46.074723,-0.005401
60398.020000,764944197.182531,149711982.866505,45.980673,-0.005402
60398.040000,764945925.182531,149711818.830885,45.885840,-0.005403
60398.060000,764947653.182530,149711649.950136,45.790229,-0.005404
60398.080000,764949381.182530,149711476.225245,45.693844,-0.005404
60398.100000,764951109.182530,149711297.657200,45.596689,-0.005405
60398.120000,764952837.182529,149711114.246987,45.498769,-0.005406
60398.140000,764954565.182529,149710925.995595,45.400088,-0.005407
60398.160000,764956293.182529,149710732.904012,45.300650,-0.005407
60398.180000,764958021.182529,149710534.973224,45.200460,-0.005408
60398.200000,764959749.182528,149710332.204219,45.099521,-0.005408
60398.220000,764961477.182528,149710124.597985,44.997839,-0.005409
60398.240000,764963205.182528,149709912.155509,44.895417,-0.005409
60398.260000,764964933.182528,149709694.877772,44.792260,-0.005410
