# epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60393.277581,764534383.020168,-403219.543464,34208.810961,29279.122644,0.243925,-1.111226,-1.032594
60393.296893,764536051.536260,-402805.217379,32436.919938,27608.333822,0.251203,-1.016245,-0.970932
60393.319692,764538021.413460,-402309.526436,30526.569676,25762.694834,0.250833,-0.926660,-0.903882
60393.346742,764540358.476455,-401731.295687,28463.940560,23736.809659,0.242963,-0.841632,-0.830848
60393.378774,764543126.091750,-401079.338778,26250.476130,21549.152543,0.227238,-0.760853,-0.751051
60393.416613,764546395.348352,-400375.196801,23893.197418,19239.275409,0.202567,-0.683974,-0.662872
60393.460913,764550222.884576,-399666.062693,21419.532568,16892.385688,0.166751,-0.611141,-0.563866
60393.511858,764554624.524579,-399040.160918,18884.028506,14659.498668,0.115693,-0.543378,-0.450270
60393.566242,764559323.305485,-398653.902947,16471.545567,12840.338518,0.045400,-0.485923,-0.322143
60393.602266,764562435.746738,-398602.632043,15006.970324,11980.893018,-0.014734,-0.456468,-0.228546
60393.635625,764565318.016932,-398742.839814,13721.093415,11459.358901,-0.085542,-0.437402,-0.131235
60393.657326,764567192.924733,-398955.518935,12907.647824,11279.024238,-0.143195,-0.431379,-0.059854
60393.679441,764569103.688512,-399295.880649,12082.961858,11241.242704,-0.215853,-0.433577,0.022099
60393.700263,764570902.689393,-399759.342457,11292.034865,11358.787824,-0.303117,-0.448411,0.110728
60393.720850,764572681.452162,-400394.910675,10466.086000,11644.265739,-0.417274,-0.485238,0.213029
60393.738522,764574208.296297,-401128.563546,9680.625272,12045.801710,-0.550673,-0.551023,0.315290
60393.753017,764575460.681748,-401906.634327,8933.285215,12498.355578,-0.699219,-0.652491,0.408364
60393.764948,764576491.526396,-402707.249150,8191.568440,12958.830981,-0.861150,-0.799859,0.483393
60393.775434,764577397.463640,-403566.090247,7375.651381,13419.299716,-1.040682,-1.020493,0.526163
60393.781580,764577928.502627,-404149.790465,6784.610933,13698.458596,-1.158223,-1.215522,0.518846
60393.787874,764578472.330095,-404811.343329,6053.767543,13966.673571,-1.271053,-1.484942,0.454764
60393.792427,764578865.660175,-405323.305928,5423.532670,14126.630237,-1.326136,-1.725245,0.348193
60393.797172,764579275.658952,-405870.116107,4660.467885,14234.214733,-1.329322,-1.997915,0.163133
60393.799948,764579515.476726,-406185.219212,4162.723219,14256.487864,-1.293284,-2.150869,0.018508
60393.802424,764579729.406232,-406456.007408,3689.382017,14244.972480,-1.234010,-2.270967,-0.128433
60393.805589,764580002.879356,-406779.155045,3051.194228,14182.567237,-1.123310,-2.388638,-0.329066
60393.809904,764580375.703851,-407162.667367,2142.708913,14009.488444,-0.928051,-2.469139,-0.594903
60393.813765,764580709.281480,-407440.597550,1317.670103,13776.050232,-0.738313,-2.467247,-0.797587
60393.817891,764581065.792289,-407669.012190,446.940667,13460.458542,-0.546495,-2.410181,-0.964092
60393.822505,764581464.468843,-407848.933626,-494.747647,13048.671637,-0.362015,-2.309820,-1.092459
60393.826958,764581849.192742,-407959.386554,-1362.359096,12612.072061,-0.217477,-2.199705,-1.170954
60393.832304,764582311.077251,-408027.150221,-2347.777644,12057.483320,-0.082216,-2.068356,-1.224468
60393.839410,764582925.014728,-408035.163340,-3567.731173,11295.065196,0.048169,-1.909429,-1.253153
60393.845438,764583445.845720,-407988.413833,-4530.940122,10641.095502,0.127436,-1.791944,-1.255709
60393.853350,764584129.449718,-407874.184325,-5709.527790,9786.270231,0.202202,-1.660146,-1.243040
60393.864033,764585052.475982,-407654.286458,-7172.362324,8652.429767,0.269160,-1.515019,-1.212069
60393.876914,764586165.384787,-407324.703535,-8778.511832,7328.233281,0.318872,-1.377032,-1.166966
60393.891029,764587384.902629,-406914.475071,-10382.499341,5936.303243,0.350983,-1.258137,-1.115866
60393.907427,764588801.719632,-406401.049108,-12084.619016,4396.366272,0.371508,-1.148856,-1.058439
60393.926773,764590473.214943,-405769.457506,-13916.335493,2680.880483,0.382401,-1.046828,-0.995002
60393.949731,764592456.718992,-405007.313882,-15893.958844,777.042880,0.384620,-0.950957,-0.925672
60393.974180,764594569.189558,-404199.185460,-17813.287721,-1105.719941,0.379493,-0.869018,-0.857749
60394.005188,764597248.219659,-403198.911011,-20024.912927,-3295.718097,0.366244,-0.785115,-0.778211
60394.043503,764600558.646886,-402023.185510,-22481.347366,-5718.977569,0.342999,-0.702031,-0.686785
60394.070766,764602914.143604,-401238.457417,-24075.406510,-7263.024647,0.322822,-0.652568,-0.624494
60394.098596,764605318.674831,-400489.923558,-25590.122238,-8689.381744,0.299276,-0.608241,-0.561993
60394.126846,764607759.498584,-399791.878443,-27025.146194,-9983.845408,0.272118,-0.568400,-0.498605
60394.153340,764610048.573418,-399201.367045,-28287.403324,-11056.370095,0.243217,-0.535064,-0.438249
60394.215480,764615417.511139,-398111.843932,-30978.889599,-13012.187239,0.157798,-0.470830,-0.287380
60394.251305,764618512.730186,-397721.491725,-32392.105085,-13752.752441,0.091737,-0.443790,-0.189262
60394.274134,764620485.147080,-397590.431626,-33254.951618,-14058.537359,0.039563,-0.431987,-0.119690
60394.296809,764622444.326541,-397572.540196,-34094.730050,-14219.259189,-0.023504,-0.426567,-0.042904
60394.322378,764624653.476988,-397720.112282,-35040.753490,-14207.319029,-0.114344,-0.432679,0.056329
60394.344219,764626540.486789,-398028.580084,-35875.858487,-14009.706031,-0.217581,-0.456303,0.155764
60394.363666,764628220.764947,-398493.102961,-36678.539930,-13663.088386,-0.341765,-0.505190,0.259463
60394.379884,764629621.965990,-399065.819198,-37437.065796,-13231.554240,-0.482918,-0.586056,0.358238
60394.393170,764630769.859648,-399705.185960,-38172.551904,-12771.178481,-0.638380,-0.706840,0.443722
60394.404336,764631734.618695,-400399.711204,-38931.781407,-12311.526796,-0.808053,-0.882498,0.505488
60394.411416,764632346.350287,-400932.367463,-39521.292130,-11995.421702,-0.935678,-1.055003,0.523293
60394.418849,764632988.589471,-401578.747328,-40277.250977,-11664.945741,-1.076513,-1.314721,0.494136
60394.424934,764633514.294801,-402171.422413,-41040.819926,-11426.892058,-1.171841,-1.601441,0.396708
60394.430424,764633988.629030,-402737.449823,-41871.623362,-11277.476758,-1.201775,-1.905716,0.216388
60394.432997,764634210.906244,-403003.013209,-42311.320975,-11242.311257,-1.183608,-2.049594,0.096306
60394.436265,764634493.332123,-403329.745459,-42914.280693,-11240.074152,-1.122881,-2.215745,-0.085114
60394.439183,764634745.424978,-403602.137229,-43488.485338,-11283.934716,-1.032855,-2.333944,-0.264492
60394.443305,764635101.535553,-403940.516593,-44339.923772,-11423.926820,-0.860638,-2.434030,-0.519429
60394.447258,764635443.119742,-404202.428704,-45176.770409,-11639.560764,-0.671413,-2.454341,-0.736669
60394.451254,764635788.338545,-404401.336917,-46018.785737,-11925.432627,-0.483185,-2.415819,-0.911480
60394.456069,764636204.398368,-404559.471806,-47005.728940,-12337.876960,-0.282892,-2.322608,-1.060678
60394.460784,764636611.756870,-404640.868299,-47929.362721,-12790.386168,-0.122650,-2.210563,-1.153524
